ID	geo_loc_v2	Country	State/Prov	iso_dat_v2	outbreak_id.v2	serovar	Plasmids	iso_source
FDA468879_4	USA	USA		2010-02-14	otbk-4	montevideo	none	red pepper
FDA556150_2	USA:RI	USA	RI	2010-02-16	0908ORJIX-1	montevideo	AH155	crushed red pepper
FDA769578_1_14	USA:MO	USA	MO	2012-08-17	otbk-46	newport	none	cantaloupe
FDA768495_20_13	USA:IN	USA	IN	2012-08-14	otbk-46	newport	none	environmental swab
FDA768495_10_1	USA:IN	USA	IN	2012-08-14	otbk-46	newport	none	environmental swab
FDA768495_24_19	USA:IN	USA	IN	2012-08-14	otbk-46	newport	none	environmental swab
FDA768495_26_25	USA:IN	USA	IN	2012-08-14	otbk-46	newport	none	environmental swab
CFSAN032488	ARG	ARG		2008-04-04	0804ARIMJEG-1o	enteritidis	AB461 + AF598	food
CFSAN032482	ARG	ARG		2006-05-26	0605ARIMJEG-1o	enteritidis	AB461	cake
CFSAN032487	ARG	ARG		2008-04-04	0804ARIMJEG-1o	enteritidis	AA474 + AB461	stool
CFSAN032485	ARG	ARG		2006-01-10	0601ARIMJEG-1o	enteritidis	AB461	chocolate mousse
CFSAN032481	ARG	ARG		2006-05-26	0605ARIMJEG-1o	enteritidis	AB461	stool
ARIM_SE135_06	ARG	ARG		2006-01-18	0601ARIMJEG-1o	enteritidis	AB461	vitello tonnato
ARIM_SE1187_06	ARG	ARG		2006-05-12	0605ARIMJEG-1o	enteritidis	AB461	stool
MDH_2013_00199	USA:MN	USA	MN	2013-05-17	1305TXTDR-1	mbandaka	none	sesame seed paste
MDH_2013_00060	USA:MN	USA	MN	2009-01-02	otbk-41	typhimurium	AB460 + AA372	peanut butter
MDH_2013_00036	USA:MN	USA	MN	2008-02-20	0803VAJPX-1c	typhimurium	AB460 + AD486	porcine lung
NY_swgs1111	USA:MN	USA	MN	2008-03-20	0803VAJPX-1c	typhimurium	AB460 + AA579 + AA579	pig tissue
MDH_2014_00779	USA:MN		MN	2014-03	otbk-20	enteritidis	AB461 + AD338	blood
MDH_2014_00781	USA:MN		MN	2014-08	otbk-20	enteritidis	AB461 + AD338	feces
MDH_2014_00782	USA:MN	USA	MN	2014-03	otbk-20	enteritidis	AB461 + AD338	feces
MDH_2014_00785	USA:MN	USA	MN	2014-03	otbk-20	enteritidis	AB461 + AD338	feces
MDH_2014_00786	USA:MN	USA	MN	2014-07	otbk-20	enteritidis	AB233 + AB461	feces
NY_swgs1123	USA:MN	USA	MN	2008-06-06	0809MAJPX-1c	typhimurium	AB460	cow stool
NY_swgs1124	USA:MN	USA	MN	2008-06-05	0809MAJPX-1c	typhimurium	AB460	pig stool
MDH_2014_00209	USA:MN	USA	MN	2000-09-16	MN-1	enteritidis	AB711 + AB461	feces
MDH_2014_00210	USA:MN	USA	MN	2000-09-14	MN-1	enteritidis	AB711 + AB461	feces
MDH_2014_00211	USA:MN	USA	MN	2000-09-18	MN-1	enteritidis	AB461 + AB711	feces
MDH_2014_00212	USA:MN	USA	MN	2000-09-19	MN-1	enteritidis	AB711 + AB461	feces
MDH_2014_00218	USA:MN	USA	MN	2001-05-08	otbk-32	enteritidis	AB461	feces
MDH_2014_00219	USA:MN	USA	MN	2001-05-09	otbk-32	enteritidis	AB461	feces
MDH_2014_00220	USA:MN	USA	MN	2001-05-09	otbk-32	enteritidis	AB461	feces
MDH_2014_00222	USA:MN	USA	MN	2001-05-25	otbk-32	enteritidis	AB461	feces
MDH_2014_00223	USA:MN	USA	MN	2001-05-25	otbk-32	enteritidis	AB461	feces
MDH_2014_00225	USA:MN	USA	MN	2001-06-10	otbk-32	enteritidis	AB461	feces
MDH_2014_00228	USA:MN	USA	MN	2001-06-06	otbk-32	enteritidis	AB461	feces
MDH_2014_00227	USA:MN	USA	MN	2001-06-28	MN-3	enteritidis	AB233 + AB461	feces
MDH_2014_00229	USA:MN	USA	MN	2001-07-04	MN-3	enteritidis	AB233 + AB461	feces
MDH_2014_00230	USA:MN	USA	MN	2001-07-05	MN-3	enteritidis	AB233 + AB461	feces
MDH_2014_00251	USA:MN	USA	MN	2001-07-16	MN-3	enteritidis	AB233 + AB461	feces
MDH_2014_00234	USA:MN	USA	MN	2003-11-23	MN-4	enteritidis	AB461 + AD338	feces
MDH_2014_00252	USA:MN	USA	MN	2003-11-20	MN-4	enteritidis	AB461 + AD338	feces
MDH_2014_00253	USA:MN	USA	MN	2003-12-01	MN-4	enteritidis	AB461 + AD338	feces
MDH_2014_00254	USA:MN	USA	MN	2003-11-27	MN-4	enteritidis	AB461 + AD338	feces
MDH_2014_00238	USA:MN	USA	MN	2011-08-15	otbk-28	enteritidis	AB461	feces
MDH_2014_00239	USA:MN	USA	MN	2011-08-22	otbk-28	enteritidis	AB461	feces
MDH_2014_00240	USA:MN	USA	MN	2011-08-25	otbk-28	enteritidis	AB461	feces
MDH_2014_00242	USA:MN	USA	MN	2011-09-13	otbk-28	enteritidis	AB461	feces
MDH_2014_00244	USA:MN	USA	MN	2011-09-14	otbk-28	enteritidis	AB461	egg farm environmental swab
MDH_2014_00249	USA:MN	USA	MN	2014-01-31	MN-6	enteritidis	none	feces
MDH_2014_00250	USA:MN	USA	MN	2014-01-30	MN-6	enteritidis	none	feces
1813	AUS	AUS		2012-03-08	hommos-5	typhimurium	AB460	hommos
1818	AUS	AUS		2012-03-08	hommos-5	typhimurium	AB460	hommos
1819	AUS	AUS		2012-02-26	otbk-39	typhimurium	AB460 + AA974	raw-egg mayonnaise
1820	AUS	AUS		2012-02-26	otbk-39	typhimurium	AB460 + AA974	raw-egg mayonnaise
1822	AUS	AUS		2012-02-26	mayo-4	typhimurium	AB460 + AA974	raw-egg mayonnaise
1823	AUS	AUS		2012-02-26	otbk-39	typhimurium	AB460 + AA974	raw-egg mayonnaise
1824	AUS	AUS		2012-02-26	otbk-39	typhimurium	AB460 + AA974	raw-egg mayonnaise
1825	AUS	AUS		2012-02-26	otbk-39	typhimurium	AB460 + AA974	raw-egg mayonnaise
1826	AUS	AUS		2012-02-26	otbk-39	typhimurium	AB460 + AA974	raw-egg mayonnaise
1827	AUS	AUS		2012-02-26	otbk-39	typhimurium	AB460 + AA974	raw-egg mayonnaise
1830	AUS	AUS		2011-02-15	cream-3	typhimurium	AB460	fried ice cream
1831	AUS	AUS		2011-02-15	cream-3	typhimurium	AB460	fried ice cream
1834	AUS	AUS		2011-02-15	cream-3	typhimurium	AB460	fried ice cream
1842	AUS	AUS		2012-04-23	otbk-36	typhimurium	AB460 + AA163	ready to eat food
1843	AUS	AUS		2012-04-23	otbk-36	typhimurium	AB460 + AA163	ready to eat food
1844	AUS	AUS		2012-04-23	otbk-36	typhimurium	AB460 + AA163	ready to eat food
1846	AUS	AUS		2012-04-23	otbk-36	typhimurium	AB460 + AA163	ready to eat food
1847	AUS	AUS		2012-04-23	otbk-36	typhimurium	AB460 + AA163	ready to eat food
MDH_2014_00255	USA:OH	USA	OH	2014-01-01	OH-7	enteritidis	none	feces
MDH_2014_00256	USA:OH	USA	OH	2014-02-01	OH-7	enteritidis	none	feces
